,Name,Actual_price,Selling_price,Overall_rating,No_of_ratings_and_reviews,Reviews,Discount,One_star,Two_star,Three_star,Four_star,Five_star,Postive,Negative,Neutral
0,"Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15IHU6 Gaming Laptop  (15.6 Inch, Shadow Black, 2.25 kg)","₹76,890","₹50,990",4.6,0,,33% off,,,,,,0,0,0
1,"Lenovo Legion 5 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) 15ITH6 Gaming Laptop  (15.6 inch, Phantom Blue, Shadow Black, 2.4 Kg, With MS Office)","₹1,53,490","₹1,15,990",4.1,32 Ratings & 7 Reviews,",Value-for-money,Fabulous!,Perfect product!,Slightly disappointed,Decent product,Does the job",24% off,13,13,4,1.0,1,2,1,4
2,"Lenovo Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop  (15.6 inch, Platinum Grey, 1.7 Kg, With MS Office)","₹61,490","₹35,840",4.3,258 Ratings & 23 Reviews,",Simply awesome,Wonderful,Best in the market!,Great product,Slightly disappointed,Terrible product,Pretty good,Good quality product,Great product,Awesome",41% off,152,70,18,3.0,15,8,2,1
3,"ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-BQ322WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹50,990","₹34,990",4.3,"1,962 Ratings & 225 Reviews",",Good choice,Classy product,Moderate,Good choice,Nice product,Value-for-money,Mind-blowing purchase,Delightful,Highly recommended,Nice",31% off,"1,116",537,158,37.0,114,7,0,4
4,"HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s- dy2506TU Thin and Light Laptop  (14 inch, Natural Silver, 1.46 kg, With MS Office)","₹48,933","₹36,990",4.3,"1,683 Ratings & 196 Reviews",",Excellent,Mind-blowing purchase,Simply awesome,Nice product,Worth the money,Does the job,Awesome,Perfect product!,Fabulous!,Very Good",24% off,989,455,101,33.0,105,8,0,3
5,"ASUS VivoBook 15 (2021) Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-BQ521WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹64,990","₹45,990",4.1,40 Ratings & 5 Reviews,",Must buy!,Classy product,Good quality product,Brilliant",29% off,24,6,5,1.0,4,3,0,2
6,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802L3IN | 82H801LHIN Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","₹64,490","₹38,480",4.3,951 Ratings & 95 Reviews,",Worth every penny,Terrific,Worth the money,Best in the market!,Great product,Awesome,Highly recommended,Perfect product!,Super!,Just wow!",40% off,556,257,58,19.0,61,10,0,1
7,"Lenovo Legion 5 Pro Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) 16ITH6H Gaming Laptop  (16 inch, Stingray, With MS Office)","₹2,24,490","₹1,57,990",4.6,10 Ratings & 0 Reviews,,29% off,6,4,0,0.0,0,0,0,0
8,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-FR2508TU Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","₹51,748","₹41,890",4.2,198 Ratings & 23 Reviews,",Simply awesome,Perfect product!,Awesome,Fabulous!,Just wow!,Just wow!,Fair,Excellent,Terrific,Pretty good",19% off,109,60,10,6.0,13,10,0,1
9,"Lenovo IdeaPad 3 Celeron Dual Core 4th Gen - (4 GB/256 GB SSD/Windows 11 Home) 14IGL05 Thin and Light Laptop  (14 inch, Platinum Grey, 1.5 kg, With MS Office)","₹40,490","₹25,990",4.1,512 Ratings & 35 Reviews,",Perfect product!,Super! Worth to buy!,Super!,Super!,Highly recommended,Classy product,Worth every penny,Does the job,Waste of money!",35% off,285,112,48,22.0,45,7,1,2
10,"ASUS Ryzen 3 Dual Core 3250U 3rd Gen - (8 GB/256 GB SSD/Windows 10 Home) M515DA-BQ322TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹46,990","₹33,475",4.3,"3,292 Ratings & 430 Reviews",",Mind-blowing purchase,Wonderful,Terrific purchase,Terrific,Best in the market!,Super!,Very Good,Terrific purchase,Must buy!,Worth the money",28% off,"1,932",889,254,70.0,147,8,0,3
11,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-dq2606tu Thin and Light Laptop  (14 Inch, Natural Silver, 1.46 Kg, With MS Office)","₹52,900","₹40,990",4.3,154 Ratings & 19 Reviews,",Excellent,Wonderful,Brilliant,Pretty good,Very Good,Nice,Must buy!,Delightful,Utterly Disappointed,Must buy!",22% off,93,39,10,3.0,9,7,1,3
12,"ASUS VivoBook 15 (2022) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ502WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹72,990","₹50,990",4.3,"1,677 Ratings & 168 Reviews",",Pretty good,Terrific purchase,Super!,Does the job,Super!,Worth every penny,Excellent,Wonderful,Terrific purchase,Nice",30% off,984,435,123,34.0,101,9,0,2
13,"ASUS VivoBook 15 (2022) Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ332WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹54,990","₹39,990",4.3,184 Ratings & 34 Reviews,",Just wow!,Great product,Terrific purchase,Terrific,Fabulous!,Delightful,Worth the money,Must buy!,Worst experience ever!,Decent product",27% off,100,56,18,1.0,9,7,1,3
14,"HP Notebook PC Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10) G8 240 Thin and Light Laptop  (14 inch, Ash Gray, 1.47 kg)","₹44,224","₹35,490",3.8,141 Ratings & 9 Reviews,",Does the job,Bad quality,Value-for-money,Nice,Excellent",19% off,69,26,18,7.0,21,2,1,3
15,"HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) 15s-GY0501AU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","₹46,055","₹37,500",4.3,"2,987 Ratings & 325 Reviews",",Delightful,Simply awesome,Perfect product!,Super!,Mind-blowing purchase,Good quality product,Worthless,Good quality product,Terrific,Awesome",18% off,"1,773",793,189,57.0,175,8,1,2
16,"ASUS VivoBook 15 (2022) Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ562WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹62,990","₹45,490",4.2,116 Ratings & 7 Reviews,",Pretty good,Great product,Value-for-money,Fabulous!,Terrible product,Bad quality",27% off,66,27,9,3.0,11,3,2,2
